LoadLibrary Error :126
Error :agora::rtc::NodeRtcEngine::registerPlugin, :3811, not unload plugin "bytedance"

duration : 1, tx :451408, rx :4367, txbr :0, rxbr :0, txAudioBr :0, rxAudioBr :0, users :1
duration : 215, tx :104035925, rx :2241224, txbr :4900, rxbr :24, txAudioBr :79, rxAudioBr :0, users :1

duration : 217, tx :105124280, rx :2244200, txbr :4353, rxbr :11, txAudioBr :72, rxAudioBr :0, users :1

duration : 219, tx :106256420, rx :2247534, txbr :4533, rxbr :13, txAudioBr :66, rxAudioBr :0, users :1

duration : 221, tx :107370514, rx :2250471, txbr :4451, rxbr :11, txAudioBr :80, rxAudioBr :0, users :1

duration : 223, tx :108464563, rx :2252648, txbr :4376, rxbr :8, txAudioBr :81, rxAudioBr :0, users :1

duration : 225, tx :109842640, rx :2256910, txbr :5509, rxbr :17, txAudioBr :81, rxAudioBr :0, users :1

duration : 227, tx :111197527, rx :2262076, txbr :5419, rxbr :20, txAudioBr :82, rxAudioBr :0, users :1

duration : 229, tx :112537669, rx :2264273, txbr :5363, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

duration : 231, tx :113671659, rx :2266658, txbr :4538, rxbr :9, txAudioBr :80, rxAudioBr :0, users :1

duration : 233, tx :114747537, rx :2268967, txbr :4301, rxbr :9, txAudioBr :76, rxAudioBr :0, users :1

duration : 235, tx :115856296, rx :2273201, txbr :4435, rxbr :16, txAudioBr :78, rxAudioBr :0, users :1

duration : 237, tx :116946322, rx :2278184, txbr :4360, rxbr :19, txAudioBr :84, rxAudioBr :0, users :1

duration : 239, tx :118172929, rx :2282936, txbr :4903, rxbr :18, txAudioBr :83, rxAudioBr :0, users :1

duration : 241, tx :119558488, rx :2286504, txbr :5545, rxbr :14, txAudioBr :80, rxAudioBr :0, users :1

duration : 243, tx :120854173, rx :2288967, txbr :5185, rxbr :9, txAudioBr :69, rxAudioBr :0, users :1

duration : 245, tx :122059657, rx :2292831, txbr :4819, rxbr :15, txAudioBr :68, rxAudioBr :0, users :1

duration : 247, tx :123326642, rx :2297836, txbr :5067, rxbr :20, txAudioBr :80, rxAudioBr :0, users :1

duration : 249, tx :124637301, rx :2303469, txbr :5242, rxbr :22, txAudioBr :80, rxAudioBr :0, users :1

duration : 251, tx :125921633, rx :2306706, txbr :5137, rxbr :12, txAudioBr :80, rxAudioBr :0, users :1

duration : 253, tx :127101075, rx :2309335, txbr :4717, rxbr :10, txAudioBr :82, rxAudioBr :0, users :1

duration : 255, tx :128331814, rx :2311402, txbr :4922, rxbr :8, txAudioBr :79, rxAudioBr :0, users :1

duration : 257, tx :129720899, rx :2313986, txbr :5556, rxbr :10, txAudioBr :78, rxAudioBr :0, users :1

duration : 259, tx :130946722, rx :2316178, txbr :4903, rxbr :8, txAudioBr :71, rxAudioBr :0, users :1

duration : 261, tx :132119262, rx :2318050, txbr :4690, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 263, tx :133281093, rx :2320357, txbr :4647, rxbr :9, txAudioBr :62, rxAudioBr :0, users :1

duration : 265, tx :134423017, rx :2322567, txbr :4567, rxbr :8, txAudioBr :80, rxAudioBr :0, users :1

duration : 267, tx :135683094, rx :2325503, txbr :5042, rxbr :11, txAudioBr :82, rxAudioBr :0, users :1

duration : 269, tx :136994198, rx :2331174, txbr :5241, rxbr :22, txAudioBr :83, rxAudioBr :0, users :1

duration : 271, tx :138189321, rx :2334506, txbr :4780, rxbr :13, txAudioBr :82, rxAudioBr :0, users :1

duration : 273, tx :139449202, rx :2337091, txbr :5042, rxbr :10, txAudioBr :81, rxAudioBr :0, users :1

duration : 275, tx :140646018, rx :2341131, txbr :4772, rxbr :16, txAudioBr :80, rxAudioBr :0, users :1

duration : 277, tx :141978994, rx :2347010, txbr :5345, rxbr :23, txAudioBr :81, rxAudioBr :0, users :1

duration : 279, tx :143298637, rx :2351935, txbr :5281, rxbr :19, txAudioBr :82, rxAudioBr :0, users :1

duration : 281, tx :144479679, rx :2354402, txbr :4724, rxbr :9, txAudioBr :77, rxAudioBr :0, users :1

duration : 283, tx :145391706, rx :2356460, txbr :3649, rxbr :8, txAudioBr :74, rxAudioBr :0, users :1

duration : 285, tx :146259373, rx :2358103, txbr :3467, rxbr :6, txAudioBr :84, rxAudioBr :0, users :1

duration : 287, tx :147211937, rx :2361300, txbr :3810, rxbr :12, txAudioBr :76, rxAudioBr :0, users :1

duration : 289, tx :148141901, rx :2366441, txbr :3717, rxbr :20, txAudioBr :71, rxAudioBr :0, users :1

duration : 291, tx :149124263, rx :2368835, txbr :3931, rxbr :9, txAudioBr :67, rxAudioBr :0, users :1

duration : 293, tx :149913586, rx :2371255, txbr :3157, rxbr :9, txAudioBr :69, rxAudioBr :0, users :1

duration : 295, tx :150383490, rx :2373217, txbr :1880, rxbr :7, txAudioBr :81, rxAudioBr :0, users :1

duration : 297, tx :150907809, rx :2374860, txbr :2096, rxbr :6, txAudioBr :81, rxAudioBr :0, users :1

duration : 299, tx :151451475, rx :2377098, txbr :2174, rxbr :8, txAudioBr :75, rxAudioBr :0, users :1

duration : 301, tx :152057039, rx :2379630, txbr :2422, rxbr :10, txAudioBr :80, rxAudioBr :0, users :1

duration : 303, tx :152726286, rx :2381573, txbr :2678, rxbr :7, txAudioBr :78, rxAudioBr :0, users :1

duration : 305, tx :153371042, rx :2383535, txbr :2577, rxbr :7, txAudioBr :76, rxAudioBr :0, users :1

duration : 307, tx :154006395, rx :2385394, txbr :2542, rxbr :7, txAudioBr :79, rxAudioBr :0, users :1

duration : 309, tx :154556917, rx :2387354, txbr :2200, rxbr :7, txAudioBr :83, rxAudioBr :0, users :1

duration : 311, tx :155078723, rx :2389824, txbr :2087, rxbr :9, txAudioBr :81, rxAudioBr :0, users :1

